Outcome,Implied Probability (%),Market Description,Data Source
Cleveland Cavaliers,38.46153846153847,Eastern Conference Winner,Bet365 US
New York Knicks,5.88235294117647,Eastern Conference Winner,Bet365 US
Indiana Pacers,5.263157894736842,Eastern Conference Winner,Bet365 US
Detroit Pistons,0.7936507936507936,Eastern Conference Winner,Bet365 US
Boston Celtics,58.333333333333336,Eastern Conference Winner,Caesars NJ
Cleveland Cavaliers,37.735849056603776,Eastern Conference Winner,Caesars NJ
New York Knicks,5.263157894736842,Eastern Conference Winner,Caesars NJ
Indiana Pacers,6.25,Eastern Conference Winner,Caesars NJ
Detroit Pistons,0.7633587786259541,Eastern Conference Winner,Caesars NJ
Boston Celtics,58.333333333333336,Eastern Conference Winner,Borgata
Cleveland Cavaliers,37.735849056603776,Eastern Conference Winner,Borgata
New York Knicks,5.88235294117647,Eastern Conference Winner,Borgata
Indiana Pacers,5.263157894736842,Eastern Conference Winner,Borgata
Detroit Pistons,0.6622516556291391,Eastern Conference Winner,Borgata
Boston Celtics,60.31746031746032,Eastern Conference Winner,BetRivers
Cleveland Cavaliers,41.66666666666667,Eastern Conference Winner,BetRivers
New York Knicks,5.88235294117647,Eastern Conference Winner,BetRivers
Indiana Pacers,4.761904761904762,Eastern Conference Winner,BetRivers
Detroit Pistons,0.6622516556291391,Eastern Conference Winner,BetRivers
Oklahoma City Thunder,64.91228070175438,Western Conference Winner,FanDuel
Golden State Warriors,13.333333333333334,Western Conference Winner,FanDuel
Minnesota Timberwolves,11.11111111111111,Western Conference Winner,FanDuel
Denver Nuggets,6.666666666666667,Western Conference Winner,FanDuel
Los Angeles Clippers,5.555555555555555,Western Conference Winner,FanDuel
Los Angeles Lakers,4.166666666666666,Western Conference Winner,FanDuel
Houston Rockets,2.1739130434782608,Western Conference Winner,FanDuel
Oklahoma City Thunder,64.28571428571429,Western Conference Winner,DraftKings
Golden State Warriors,14.285714285714285,Western Conference Winner,DraftKings
Minnesota Timberwolves,11.11111111111111,Western Conference Winner,DraftKings
Denver Nuggets,7.142857142857142,Western Conference Winner,DraftKings
Los Angeles Clippers,6.25,Western Conference Winner,DraftKings
Los Angeles Lakers,5.0,Western Conference Winner,DraftKings
Houston Rockets,3.225806451612903,Western Conference Winner,DraftKings
Oklahoma City Thunder,63.63636363636363,Western Conference Winner,BetMGM
Golden State Warriors,14.285714285714285,Western Conference Winner,BetMGM
Minnesota Timberwolves,11.11111111111111,Western Conference Winner,BetMGM
Denver Nuggets,7.142857142857142,Western Conference Winner,BetMGM
Los Angeles Clippers,5.88235294117647,Western Conference Winner,BetMGM
